collection_slug,created_date,market_cap,num_owners,floor_price,total_volume,total_supply,thirty_day_volume,thirty_day_change
nft-worlds,2021-10-06T04:57:55.922255,29883.398258369318,4566,3.48,9657.625478222353,9996,5757.028206317877,3.015515504991124
deadfellaz,2021-08-13T14:30:12.621434,17715.85467566647,5708,1.75,12828.840251776626,9997,3775.14662938274,1.1860230601815351
town-star,2020-07-07T04:21:17.383133,73.1586198995598,34922,0.00170955,23650.45681554217,425,11203.384356376946,3.0436080323235846
critterznft,2021-12-22T15:55:17.513453,2044.7345508847436,375,1.5,2869.7340994798797,3808,2869.7340994798574,0
collectvox,2021-07-30T21:52:12.603912,67871.84345040901,3418,2.189,20645.029021758695,8888,6165.588610462727,-0.019201867241120506
morethangamersnftmtg,2021-12-23T09:32:17.568846,6116.402578620915,6938,0.27,5777.853254764969,10100,5777.853254764959,0
apocalyptic-apes,2021-12-15T19:18:03.090228,8526.384384607281,3474,0.69,3824.298693594803,8888,3824.298693594772,0
neotokyo-outer-identities,2021-12-11T18:22:45.276088,46591.26673671362,4005,11.75,11738.18233555398,4492,11738.182335553976,0
jankyheist,2021-07-13T04:06:19.864433,5126.101582116452,4365,0.39,2875.0131293373097,12262,2179.383930370702,186.3723427622624
collectvoxmirandus,2021-11-19T13:12:36.549230,70709.57370712081,4134,1.72,14387.824156927978,8179,12584.631682187995,6.498503667509654
mypethooligan,2021-12-13T17:08:47.634664,12402.053239034396,5230,1.369,7411.985448552107,8888,7411.985448552127,0
superrare,2019-04-26T22:13:23.645797,741069.1288237858,5845,0.278,62473.2439022927,29134,6559.798590026003,3.3293290594983342
coolmans-universe,2021-12-17T23:15:45.785451,5495.331388923215,4961,0.639,4574.956736457607,10000,4574.956736457545,0
worldwidewebbland,2021-11-29T08:20:45.145208,10091.165001345955,4671,0.889,7034.171248777135,9508,3588.351614930532,0.04136373816084362
art-blocks,2020-11-27T15:58:37.366034,124091.91768757248,9898,,215858.56711434116,47287,10694.651192987152,-0.16226372700393832
bored-bunny--nft,2022-01-04T16:49:31.681945,4129.975918383092,3453,0.58,1594.4896024163568,4999,1594.4896024163568,0
capsulehouse,2021-09-28T04:59:44.631052,8284.84747399785,2962,1.198,6954.341797480653,10000,1906.4582541378504,11.127760452944177
cryptomories,2021-10-08T09:14:34.697573,8209.613648586177,4624,0.779,6314.5408342295505,10000,2186.521098522801,-0.22934350010145127
expansionpunks,2021-08-15T05:37:14.456999,5949.41744376302,3054,0.42,2579.352908621397,9980,2568.285208621389,1809.6917714476788
forgottenruneswizardscult,2021-06-29T10:49:13.763292,24614.937915916664,2600,2.15,7847.119494411582,9421,2242.175758307447,3.274345044979401
yungapesquad,2021-12-29T22:12:55.234271,1151.1105849819878,3166,0.145,1380.3623242460153,6643,1380.3623242460508,0
cyberkongz,2021-04-16T19:57:15.677123,38045.061124554086,2336,7.09,40653.22688998496,5000,4837.046831410536,0.25150780881708307
theapedads,2021-12-28T18:34:30.140584,927.3607923940154,2513,0.169,1375.5078953184038,4000,1375.5078953184234,0
cryptoadz-by-gremplin,2021-09-08T20:07:14.086599,25901.550147965754,3667,3.99,54968.62046547991,7025,5195.040936002705,0.16000868592479353
decentraland,2019-04-26T22:13:21.651227,526775.0495337729,6242,3.46784001,233289.87943502466,97198,7399.3600698115,-0.14818918957634575
punks-comic,2021-05-11T01:08:43.634595,39124.482280790435,6992,0.279,47925.58187386789,22840,5872.434050273785,0.9772997953632048
makc-m1,2021-12-28T20:51:39.232385,690.0906748097728,1783,0.398,1289.7794712194282,3000,1289.7794712194654,0
chainfaces-arena,2022-01-01T00:01:28.229768,3204.3305362773845,5346,0.045,1243.4023902311667,26969,1243.4023902311108,0
animo-official,2021-12-22T12:41:28.393081,2004.6621876133763,4346,0.16,1800.1472402693062,10000,1800.1472402693423,0
dystoapez-official,2021-12-29T00:19:06.668178,1054.2873384332297,2186,0.1959,1210.8999072754411,4443,1210.899907275438,0
kaiju-kingz,2021-10-13T06:13:46.161485,8007.425941555893,2283,1.19,16529.02051204031,4197,2056.1482967313536,0.3785995998395782
mekaverse,2021-10-07T20:29:17.017760,22692.17118616386,5140,1.36,45171.17709825483,8885,1684.8545511590082,-0.1689457114941513
linksdao,2021-12-31T15:27:34.731062,3849.5344274096533,4881,0.333,1184.928198888042,9090,1184.9281988880318,0
guttercatgang,2021-06-08T19:31:45.216105,22241.497956748215,1755,6.9,17394.382378913953,3000,2341.6416691899776,1.281667786706381
cyberkongz-vx,2021-08-15T19:00:24.764394,25415.08482490631,4263,1.69,20238.471117552323,14741,1780.0016951261202,0.47314617328344033
adidasoriginals,2021-12-17T01:05:06.570334,0.7113786636897048,21056,0.78,14959.690714153436,1,14959.690714153357,0
fluf-world,2021-08-05T20:23:36.545766,22470.043377461094,3595,2.1212,19448.273985824206,9999,1864.184867900004,0.006284899876133745
fyat-lux-dawn,2021-12-27T21:28:59.057066,1640.7042093004357,4361,0.1955,1021.9881541347754,8080,1021.9881541347887,0
little-lemon-friends,2021-12-09T06:06:01.981578,3340.1258110316085,3963,0.31,2119.41496581633,9997,2119.414965816293,0
slimhoods,2021-10-15T19:16:32.231037,3090.563475345707,3052,0.83,1732.2774687944411,5000,1391.5665782572494,5.625558635484103
veefriends,2021-05-11T18:22:19.398578,113756.4682227273,5153,10.0,34745.530342873026,10255,2680.941310122004,0.11686062412230543
frontiergame,2021-09-03T07:04:59.227121,17.77228188704,6953,0.1,7828.635480618215,55,1297.6731207034536,2.35878093529919
crypto-bull-society,2021-11-27T22:41:13.687462,17274.971510982006,4763,1.925,9418.477405764315,7776,5913.291240208451,0.6870120332882904
world-of-women-nft,2021-07-27T14:26:04.834925,27464.468278372,4685,2.4,27931.803845464274,10000,2458.2363793224595,0.3290608095555237
illuminaticollective,2021-12-07T04:59:27.767502,3061.0327061063513,4070,0.5,1039.7397125474174,8128,1039.7397125474204,0
meebits,2021-05-03T01:32:41.897161,80873.72054890482,5489,3.98,79260.99214301136,19998,2643.5079305056806,-0.09582891898317722
larva-lads,2021-12-21T04:34:56.641914,1248.385732963343,2749,0.18,1460.1990924710274,5000,1460.1990924710424,0
wulfz-official,2021-12-27T10:26:55.132510,1013.4593266623932,3116,0.2469,1237.5442505753426,5555,1237.5442505753433,0
moodrollers-by-lucas-zanotto,2021-12-08T20:00:17.464333,2699.0747345365585,2901,0.7,1364.352679950451,5000,1364.352679950453,0
creepz-invasion-pass,2021-12-30T19:09:43.075486,0.17108501176797883,3253,0.34,822.2345665569052,1,822.2345665569063,0
wool-pouch,2021-12-07T04:17:17.129936,11394.898042147104,3212,0.4863,1511.608831281451,9350,1511.6088312814543,0
noodlesnft-official,2021-12-15T03:19:45.619728,1519.1452328110604,2858,0.248,1006.2860192964218,5555,1006.2860192964295,0
supducks,2021-07-16T21:40:10.961766,16828.4261731015,3374,1.59,18906.513264286106,10001,1313.2971767233216,0.11476948485363361
neotokyo-citizens,2021-12-06T20:54:41.531623,140094.81363636366,1820,45.99,1976.87273,1945,1976.87273,0
coolapeclubofficial,2021-12-22T14:17:54.367605,575.7271656422125,2552,0.094,774.4026781931545,5555,774.4026781931539,0
grayboys,2021-11-24T01:56:52.361675,3301.556794812869,3057,0.37,985.3283435067447,10000,971.6359483632947,69.96172277993936
clonex-mintvial,2021-11-27T17:50:03.740789,7852.581617142859,731,11.32,25917.39506871237,774,19003.023438397966,1.7483370079623928
wolf-game-land,2021-11-22T04:46:12.749699,9138.076631915139,5760,0.479,3271.4454013640966,19971,1115.1694587122106,-0.48282618348895917
zed-run-official,2021-03-03T01:21:00.501733,13015.637098485317,49095,0.01239,43185.32959308974,180298,1921.8262491242965,0.24731571429514082
jenkins-the-valet,2021-08-04T01:37:38.385193,6115.195125684664,2849,0.6469,3104.9914096227963,6941,1220.2995661013222,2.2013265173255445
byopills,2021-07-16T12:06:51.781899,10987.165932019254,3373,1.2,3536.8162636969287,9997,1268.0865748500999,8.079461993555658
cyber-factory-2,2021-09-20T02:01:14.356472,2.409384807833462,8746,0.395,1649.1140592369034,5,1101.1093757870033,5.394531109216753
nbayc,2021-12-31T00:01:50.421578,623.9105811404921,2281,0.159,631.8966365790876,5000,631.8966365790905,0
gutterdogs,2021-10-02T18:49:42.406605,5780.281933481182,1927,1.85,3127.154376791229,2908,1089.1745327976812,1.1071390224644395
metahero-generative,2021-09-05T01:21:18.467704,31532.938076923077,499,6.0,9800.667447496931,6085,1274.0906000000014,-0.17957662586495785
foxfam,2021-10-02T15:31:26.142212,3993.744491740074,3093,0.394,4244.666369403536,10000,665.5539990913302,1.9309270832834038
creatureworld,2021-08-28T19:25:09.137211,12468.433044273786,6087,1.1,31063.081195397164,9999,2737.531977096468,0.29932546458156806
async-blueprints,2021-12-13T15:46:40.115203,10588.737194583333,1234,0.199,2552.4719164026633,1960,2552.4719164026656,0
x-consoles-0xnft,2021-12-01T16:30:56.920126,3862.173611111112,75,5.69,1887.402018665692,1000,1360.6212899900002,1.5828987582946716
byoland,2021-12-16T11:08:14.997222,7826.9671743140425,2892,0.7,1113.689975573272,10056,1113.6899755732748,0
lazy-lions,2021-08-06T06:37:58.189522,13196.599295382523,5012,1.389,20689.397218654667,10080,1779.2233787085474,-0.12591941413142788
the-doge-pound,2021-07-12T20:21:03.766305,20074.992067669173,5571,1.9,25638.939350622848,10000,1340.583063700003,-0.40608789193134925
rumble-kong-league,2021-07-27T20:54:47.143735,44359.9176937867,3067,2.7,14718.960527274341,9995,4198.676105088778,1.6555998960715788
psychedelics-anonymous-component-1,2021-12-22T21:00:34.327156,2879.882626738232,6057,0.44,758.4677406943586,9589,758.4677406943563,0
kumo-x-world-residents,2021-11-10T11:13:43.195795,1166.3746381790697,3355,0.165,1092.4555533978469,6641,577.6209057098497,0.12195422026048042
the-meta-kongz,2021-12-14T12:46:08.618755,7733.993320293846,2314,1.11099,1508.7465475554081,9915,1508.7465475554018,0
shiba-social-club,2021-12-16T17:06:40.581987,3859.0792677144377,4880,0.333,5232.373296872223,7776,5232.373296872192,0
thelittlesnft,2021-11-26T01:49:51.916321,4556.398201634434,5548,0.465,5922.000067901092,10000,1132.5351659394921,-0.7635361801115511
alpacadabraz,2021-10-22T02:45:57.537932,4228.00972569303,3517,0.419,2975.8053831229236,9669,825.6512482099012,3.1753062142236694
lootrealms,2021-08-31T18:38:42.900062,6436.473003188536,937,0.83,1906.1797617095433,8000,630.6623676690381,12.423634874626224
planetdaos,2021-09-30T17:59:03.572613,5.07593596835289,9744,0.25,4374.607612256437,11,1305.9574300010013,0.9730897954661067
888innercircle,2021-09-09T17:26:23.390102,1.391934335518102,3622,1.5,16407.071611941334,1,1744.0789532423423,2.7333517572516706
asm-aifa-genesis,2021-10-19T03:21:26.711984,23901.129611650485,1499,3.399,5193.283637096458,10000,1514.2610399000012,-0.25410628478351305
bladerunner-punks,2021-12-11T18:24:37.566905,1388.9181555983075,4141,0.074,1291.4854469684717,10000,1291.4854469684801,0
wolf-game-farmer,2021-11-22T04:44:30.302891,7086.290527679343,3821,0.7,1301.276329881733,11738,731.4657578818319,0.2836998711950253
