rank_num,collection_slug,created_date,num_owners,floor_price,total_volume,total_supply,thirty_day_volume,thirty_day_change
37,collectvoxthewalkingdead,2022-03-26T20:02:51.835681,3775,0.795,975.283424840860106997,1,975.283424840860106997,0
38,quirkiesoriginals,2022-02-10T21:09:31.860960,2217,1.8,7824.721160553971458285,5000,3918.665322865508187533,0.003228188664213808
39,cool-cats-nft,2021-06-27T09:03:35.403074,5379,8.2,95869.975599914774647914,9941,6940.725629458245748538,-0.2754827755612895
40,milady,2021-08-24T21:13:48.457143,2520,0.49,2149.042694431945164979,9668,2113.431163431936965935,157.0123635286417
41,alphasharksofficial,2022-03-25T12:28:40.934386,4213,0.274,1218.303889697032218464,5969,1218.303889697032218464,0
42,akumaorigins,2022-03-31T18:43:20.530159,2328,0.3749,940.457996351779115685,4721,940.457996351779115685,0
43,art-blocks,2020-11-27T15:58:37.366034,11533,0.3749,238686.139769377856282517,54381,6577.119035833948146319,-0.1996824494202948
44,decentraland,2019-04-26T22:13:21.651227,6918,3.19,231652.808412129466887563,97405,4069.755005977250220894,-0.3223512335251218
45,nft-worlds,2021-10-06T04:57:55.922255,823,10.49,42092.298302078335836995,10000,7089.053887102255430364,-0.6492348619620478
46,veefriends,2021-05-11T18:22:19.398578,5265,13.95,47953.60104269008297706,10255,5961.062062527796115319,1.2771521059991213
47,pudgypenguins,2021-07-22T12:48:58.239929,4357,2.25,49114.277798825300124008,8888,1217.744019151729389705,0.6454947581276455
48,dreadfulz,2022-03-31T09:58:07.860507,3022,0.079,780.862247529835030946,7776,780.862247529835030946,0
49,ethlizards,2022-01-29T09:31:57.912935,1548,1.84,1830.728782430105638923,5050,1573.007067839019327948,5.103510021787789
50,coolpetsnft,2022-01-31T16:05:35.363948,9871,1.47,22925.140632477035978809,18710,3510.972380343076110876,-0.8191541180262949
51,metroverse-genesis,2021-10-18T23:28:34.383964,240,2,22754.922653735156927723,10000,4328.264414147170100478,-0.26164471396406724
52,the-sandbox-assets,2021-11-10T22:44:32.563534,34790,0.00532,9243.509593836957719759,2351,1746.369803549893276795,2.4680010684852602
53,asm-brains,2021-12-05T21:49:36.894084,2710,2.599,6470.886680856519888039,8495,2419.294697456540689018,0.6677315209121214
54,genesis-creepz,2022-01-06T18:54:03.739082,312,2.46,26175.04824010200536577,11111,2143.574057043059838179,-0.6046523913782318
55,3landers,2022-02-19T13:01:18.111966,5580,1.42,26984.965920476948667783,10000,5849.127016636458392895,-0.7232602385338184
56,spriteclub,2022-03-25T11:28:29.708988,3803,0.109,667.516318016233640265,7777,667.516318016233640265,0
57,projectnanopass,2021-12-12T08:48:47.784739,4105,3.5,12016.502948782363091595,5555,1918.167172137998932158,0.0874166299408944
58,troverse-planets,2022-03-04T15:52:02.783041,4000,0.199,2926.8952573854126058,10000,2926.8952573854126058,0
59,kaiju-kingz,2021-10-13T06:13:46.161485,3235,1.2,25629.339722167875152081,5700,2507.819696220878995518,-0.11088083540471168
60,decentral-games-ice,2021-09-14T17:12:28.739800,4400,1.015,10523.800685081187111791,25368,2521.502187749995755439,-0.3250998364371576
61,the-seekers,2022-03-27T21:14:08.499518,6011,0.086,610.857752444591596941,47895,610.857752444591596941,0
62,tennis-champs-genesis,2022-03-27T19:22:19.028942,1399,0.1745,575.143604836907229583,3333,575.143604836907229583,0
63,murderheaddeathclub,2022-03-22T16:39:05.785434,2998,0.049,578.697183158673396974,6666,578.697183158673396974,0
